"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C5,C6,C16,C18,C19","7","0.1uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C2,C4,C7,C14,C15,C17","6","10uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C8,C9,C10,C13","4","1uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C11,C12","2","470nF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"FB1","1","FerriteBead_Small","","","","Capacitor_SMD:C_0603_1608Metric","~"
"J1","1","Conn_01x09_Pin","","","","Connector_JST:JST_GH_SM09B-GHS-TB_1x09-1MP_P1.25mm_Horizontal","~"
"MIC1","1","Contact Mic 1","","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"MIC2","1","Contact Mic 2","","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"R1,R2","2","47k","","","","Capacitor_SMD:C_0402_1005Metric","~"
"R3,R4","2","10M","","","","Capacitor_SMD:C_0402_1005Metric","~"
"R5,R6","2","100k","","","","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R7","1","10K","","","","Capacitor_SMD:C_0402_1005Metric","~"
"R8","1","10k","","","","Capacitor_SMD:C_0402_1005Metric","~"
"R9,R10","2","1M","","","","Capacitor_SMD:C_0402_1005Metric","~"
"R11,R12,R13,R14","4","33","","","","Capacitor_SMD:C_0402_1005Metric","~"
"TP1,TP2,TP3,TP4","4","TestPoint","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"U1","1","ES8388","","","","Package_DFN_QFN:QFN-28-1EP_4x4mm_P0.45mm_EP2.6x2.6mm","http://www.everest-semi.com/pdf/ES8388%20DS.pdf"
"U2","1","MCP6002-xMC","","","","Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf"
